Date,Open,High,Low,Close,Volume,10ma,50ma
2020-01-01 00:00:00+05:30,1488.834356031696,1497.7594915343575,1476.5745770952603,1480.5958251953125,6463060,,
2020-01-02 00:00:00+05:30,1482.9497051514436,1511.3434249853549,1482.9497051514436,1505.802001953125,8173308,,
2020-01-03 00:00:00+05:30,1503.5461378923578,1512.0300141668426,1493.7383630950128,1507.616455078125,9684434,,
2020-01-06 00:00:00+05:30,1490.7959321240826,1498.5441347599449,1469.2187063869296,1472.6513671875,11315596,,
2020-01-07 00:00:00+05:30,1489.8151424039715,1505.0173747325302,1484.4208057989936,1495.3076171875,7699489,,
2020-01-08 00:00:00+05:30,1485.8921053725385,1504.968379493414,1480.988217700023,1484.07763671875,7406104,,
2020-01-09 00:00:00+05:30,1509.038747507156,1520.2197326352414,1501.8299417419607,1518.258056640625,6914533,,
2020-01-10 00:00:00+05:30,1522.083007338382,1528.01674128152,1510.068453045702,1517.9146728515625,5758760,,
2020-01-13 00:00:00+05:30,1515.364668806541,1528.7524325787228,1508.8424683031078,1514.0406494140625,8437316,,
2020-01-14 00:00:00+05:30,1510.4117432947469,1520.2196392258425,1492.6104200356967,1500.015380859375,7299328,1499.6279663085938,
2020-01-15 00:00:00+05:30,1506.3414727953857,1510.3136520376163,1489.0796672738247,1494.572021484375,7299939,1501.0255859375,
2020-01-16 00:00:00+05:30,1499.6230705339644,1513.6973184124624,1498.6422930263948,1508.35205078125,5929338,1501.2805908203125,
2020-01-17 00:00:00+05:30,1523.6523391501626,1554.498185334888,1523.3581663203936,1550.6240234375,13597387,1505.58134765625,
2020-01-20 00:00:00+05:30,1578.086046329263,1578.086046329263,1497.0730964766387,1502.9088134765625,15019904,1508.6070922851563,
2020-01-21 00:00:00+05:30,1499.2307738085872,1516.1493370500723,1492.7575213371513,1504.428955078125,8732832,1509.5192260742188,
2020-01-22 00:00:00+05:30,1514.3348369199002,1517.0320656801534,1501.6827467850992,1503.8895263671875,4763978,1511.5004150390625,
2020-01-23 00:00:00+05:30,1506.9789373030726,1512.3242048457248,1491.4825320803857,1497.514404296875,5190829,1509.4260498046874,
2020-01-24 00:00:00+05:30,1497.661551940893,1506.8319125045589,1489.3738307255917,1492.3162841796875,6751025,1506.8662109375,
2020-01-27 00:00:00+05:30,1485.793954314681,1495.1604703328985,1476.0841963773198,1477.6044921875,6178444,1503.2225952148438,
2020-01-28 00:00:00+05:30,1479.6149449958946,1480.9881543452866,1435.4795952518116,1443.4730224609375,11321622,1497.568359375,
2020-01-29 00:00:00+05:30,1445.728970620489,1465.687884612281,1435.921074160204,1451.41748046875,11420535,1493.2529052734376,
2020-01-30 00:00:00+05:30,1450.5836642738516,1451.2702689366088,1412.3329801501586,1416.010986328125,10338837,1484.018798828125,
2020-01-31 00:00:00+05:30,1425.0833160776574,1425.3285406800514,1380.1633417199362,1384.52783203125,16037262,1467.4091796875,
2020-02-03 00:00:00+05:30,1343.5799974611598,1373.052636550175,1336.8616406236554,1358.8802490234375,14173717,1453.0063232421876,
2020-02-04 00:00:00+05:30,1373.1014960470138,1404.9770656276778,1370.943785636293,1398.9942626953125,11714666,1442.4628540039062,
2020-02-05 00:00:00+05:30,1407.330982939204,1424.8870813938458,1402.819406461073,1420.669677734375,8524871,1434.140869140625,
2020-02-06 00:00:00+05:30,1426.1622004112487,1438.8142909542755,1412.4311941573433,1429.7911376953125,7171051,1427.3685424804687,
2020-02-07 00:00:00+05:30,1423.1216815112866,1424.445700914548,1400.8578510855834,1406.10498046875,5634549,1418.747412109375,
2020-02-10 00:00:00+05:30,1400.5636697756222,1417.727458604514,1383.3509327129243,1408.0177001953125,6988250,1411.7887329101563,
2020-02-11 00:00:00+05:30,1419.5908833092633,1438.0296210847753,1417.2859655499324,1424.8380126953125,6460912,1409.9252319335938,
2020-02-12 00:00:00+05:30,1428.1726898904542,1446.5134092271471,1427.044705194573,1442.05078125,6245738,1408.9885620117188,
2020-02-13 00:00:00+05:30,1449.3577033087593,1449.3577033087593,1434.498833488875,1445.826904296875,6260549,1411.9701538085938,
2020-02-14 00:00:00+05:30,1448.8674165919667,1472.6024745730754,1425.181427702389,1459.0185546875,9796645,1419.4192260742188,
2020-02-17 00:00:00+05:30,1460.3915932787295,1477.2120180128786,1445.973982769607,1449.84814453125,6068321,1428.516015625,
2020-02-18 00:00:00+05:30,1447.5432120461833,1447.5432120461833,1429.398647229488,1439.20654296875,5135183,1432.5372436523437,
2020-02-19 00:00:00+05:30,1450.9269447151269,1477.5063171565496,1446.7586101186062,1474.9072265625,6499952,1437.9609985351562,
2020-02-20 00:00:00+05:30,1468.23788857494,1479.0264407173513,1455.2915051442233,1457.400146484375,7795779,1440.7218994140626,
2020-02-24 00:00:00+05:30,1441.5115125770835,1448.622179835479,1411.8916687959627,1417.18798828125,9862350,1441.8302001953125,
2020-02-25 00:00:00+05:30,1423.513975869579,1423.513975869579,1382.9094254727113,1389.1864013671875,12804341,1439.9470703125,
2020-02-26 00:00:00+05:30,1382.909486221826,1385.2142831943686,1360.6946033098086,1365.2552490234375,13550903,1433.9887939453124,
2020-02-27 00:00:00+05:30,1361.3321752289287,1367.0208058947533,1342.697280866712,1359.6158447265625,11562875,1425.7453002929688,
2020-02-28 00:00:00+05:30,1328.8679944026858,1330.9276874737934,1299.5424465522797,1303.122314453125,18144221,1411.4748413085938,
2020-03-02 00:00:00+05:30,1329.0641631815736,1342.697151137449,1276.1016970105095,1290.862548828125,13614473,1394.6592407226562,
2020-03-03 00:00:00+05:30,1304.1521247464252,1327.8871800526483,1296.6000781753294,1317.0494384765625,12644541,1381.3793701171876,
2020-03-04 00:00:00+05:30,1326.0238294864316,1327.7892290930251,1282.7711161154675,1313.960205078125,10201574,1368.854736328125,
2020-03-05 00:00:00+05:30,1326.2199280351683,1331.8594894033242,1280.907644165992,1285.9586181640625,14080540,1349.9598754882813,
2020-03-06 00:00:00+05:30,1245.5994225745958,1263.4007478953258,1217.254647186281,1246.5802001953125,15568253,1328.877880859375,
2020-03-09 00:00:00+05:30,1216.2246919418508,1217.156521243263,1073.9616719381238,1092.74365234375,40698294,1296.433447265625,
2020-03-11 00:00:00+05:30,1086.7119670229447,1155.8083829660343,1086.7119670229447,1131.38671875,27495503,1270.6534790039063,
2020-03-12 00:00:00+05:30,1064.1537632114942,1079.8463244176585,1028.551116166344,1042.576416015625,25830369,1238.385595703125,1415.899189453125
2020-03-13 00:00:00+05:30,978.8253762688422,1118.097128521356,924.2935964322262,1084.0638427734375,33826739,1210.8303955078125,1407.9685498046874
2020-03-16 00:00:00+05:30,1040.173443733748,1058.9555441073633,985.6907406973204,996.1851806640624,17759556,1180.1366821289062,1397.7762133789063
2020-03-17 00:00:00+05:30,1027.129089612563,1039.6340937826965,983.9253861303356,988.6331787109376,20973312,1149.9137451171875,1387.3965478515624
2020-03-18 00:00:00+05:30,1005.6007356162607,1015.997037721306,942.536137004766,949.8920288085938,20643079,1113.1980041503907,1376.9413610839845
2020-03-19 00:00:00+05:30,902.4219812930514,948.420870199094,875.0580466412766,900.068115234375,28337941,1071.8087951660157,1365.0365710449219
2020-03-20 00:00:00+05:30,921.4492743231488,1015.0162989938084,912.1318271302098,998.3920288085938,29240849,1043.0521362304687,1355.3228588867187
2020-03-23 00:00:00+05:30,898.596906196462,931.7475497545076,858.8260444331028,867.0646362304688,18769636,1005.1005798339844,1342.2989904785156
2020-03-24 00:00:00+05:30,912.1318131453804,951.3632772834776,878.5888587332804,925.2743530273438,21106643,988.3536499023437,1330.4461840820313
